Countries,Average Life Expectancy Age 1800-1900,Average Life Expectancy Age 1901-2001,Average Life Expectancy Age 2002-2016,Average Life Expectancy Age Over 216 Years,Year,Age (CAN),Age (IND),Age (AUS),Age (BRZ),Age (CHN),Age (FRN),Age (GRM),Age (ITL),Age (JPN),Age (MEX),Age (RUS),Age (SPN),Age (SWZ),Age (UK),Age (US)
Australia,36,67,81,54,1800,39,25.4424,34.049999,32,32,33.967171,38.369999,29.690001,36.400002,26.9,29.573458,29.5,38,38.649761,39.41
Brazil,31,48,73,42,1801,39.001495,25.4424,34.049999,31.999807,32,36.374649,38.369999,29.690001,36.400398,26.9,29.573458,29.5,38,37.350822,39.41
Canada,41,66,80,55,1802,39.002995,25,34.049999,31.999613,32,34.379993,38.369999,29.690001,36.400795,26.9,29.573458,29.5,38,38.615601,39.41
China,31,46,73,41,1803,39.00449,24,34.049999,31.99942,32,30.642622,38.369999,29.690001,36.401192,26.9,29.573458,29.5,38,37.316845,39.41
France,39,63,81,53,1804,39.005985,23.5,34.049999,31.999228,32,29.381762,38.369999,29.690001,36.401588,26.9,29.573458,29.5,38,41.436916,39.41
Germany,38,62,79,52,1805,39.007484,25.4424,34.049999,31.999033,32,34.87632,38.369999,29.690001,36.401989,26.9,29.573458,29.5,38,42.317261,39.41
India,24,39,65,34,1806,39.00898,25.4424,34.049999,31.99884,32,35,38.369999,29.690001,36.402386,26.9,29.573458,29.5,38,43.216114,39.41
Italy,31,61,81,49,1807,39.010479,25.4424,34.049999,31.998646,32,34.200001,38.369999,29.690001,36.402782,26.9,29.573458,29.5,38,40.04594,39.41
Japan,36,59,82,50,1808,39.011974,25.4424,34.049999,31.998453,32,34.5,38.369999,29.690001,36.403179,26.9,29.573458,29.5,38,40.347794,39.41
Mexico,26,49,75,40,1809,39.01347,25.4424,34.049999,31.99826,32,35,38.369999,29.690001,36.40358,26.9,29.573458,29.5,38,41.742203,39.41
Russia,29,50,68,41,1810,39.014969,25.4424,34.049999,31.998066,32,37.400002,38.369999,29.690001,36.403976,26.9,29.573458,29.5,38,38.347382,39.41
Spain,29,60,81,47,1811,39.016464,25.4424,34.049999,31.997873,32,36.099998,38.369999,29.690001,36.404373,26.9,29.573458,29.5,38,39.887272,39.41
Switzerland,39,66,82,55,1812,39.01796,23,34.049999,31.997681,32,31.700001,38.369999,29.690001,36.40477,26.9,29.573458,29.5,38,41.826324,39.41
United Kingdom,42,65,79,55,1813,39.019459,25.4424,34.049999,31.997486,32,31.200001,38.369999,29.690001,36.405167,26.9,29.573458,29.5,38,43.038368,39.41
United States,40,65,78,54,1814,39.020954,25.4424,34.049999,31.997293,32,30.1,38.369999,29.690001,36.405567,26.9,29.573458,29.5,38,40.241531,39.41
,,,,,1815,39.022453,25.4424,34.049999,31.997101,32,36.5,38.369999,29.690001,36.405964,26.9,29.573458,29.5,38,41.131779,39.41
,,,,,1816,39.023949,25.4424,34.049999,31.996906,32,40.040001,38.369999,29.690001,36.406361,26.9,29.573458,29.5,38,39.938316,39.41
,,,,,1817,39.025444,25.4424,34.049999,31.996714,32,39.18,38.369999,29.690001,36.406757,26.9,29.573458,29.5,38,41.040718,39.41
,,,,,1818,39.026943,25.4424,34.049999,31.996519,32,38.529999,38.369999,29.690001,36.407154,26.9,29.573458,29.5,38,39.847767,39.41
,,,,,1819,39.028439,25.4424,34.049999,31.996326,32,37.25,38.369999,29.690001,36.407555,26.9,29.573458,29.5,38,40.51926,39.41
,,,,,1820,39.029934,25.4424,34.049999,31.996134,32,39.209999,38.369999,29.690001,36.407951,26.9,29.573458,29.5,38,41.312477,39.41
,,,,,1821,39.031433,25.4424,34.049999,31.995939,32,39.830002,38.369999,29.690001,36.408348,26.9,29.573458,29.5,38,41.780403,39.41
,,,,,1822,39.032928,25.4424,34.049999,31.995747,32,38.299999,38.369999,29.690001,36.408745,26.9,29.573458,29.5,38,41.349724,39.41
,,,,,1823,39.034428,25.4424,34.049999,31.995554,32,39.970001,38.369999,29.690001,36.409142,26.9,29.573458,29.5,38,40.048023,39.41
,,,,,1824,39.035923,25.4424,34.049999,31.995359,32,39.139999,38.369999,29.690001,36.409542,26.9,29.573458,29.5,38,39.192757,39.41
,,,,,1825,39.037418,25.4424,34.049999,31.995167,32,38.529999,38.369999,29.690001,36.409939,26.9,29.573458,29.5,38,39.939877,39.41
,,,,,1826,39.038918,25.4424,34.049999,31.994974,32,37.759998,38.369999,29.690001,36.410336,26.9,29.573458,29.5,38,39.830349,39.41
,,,,,1827,39.040413,25.4424,34.049999,31.99478,32,39.349998,38.369999,29.690001,36.410732,26.9,29.573458,29.5,38,41.138859,39.41
,,,,,1828,39.041908,25.4424,34.049999,31.994587,32,37.529999,38.369999,29.690001,36.411133,26.9,29.573458,29.5,38,42.032665,39.41
,,,,,1829,39.043407,25.4424,34.049999,31.994392,32,39.360001,38.369999,29.690001,36.41153,26.9,29.573458,29.5,38,41.558071,39.41
,,,,,1830,39.044903,25.4424,34.049999,31.9942,32,39.560001,38.369999,29.690001,36.411926,26.9,29.573458,29.5,38,43.018311,39.41
,,,,,1831,39.046398,25.4424,34.049999,31.994007,32,39.650002,38.369999,29.690001,36.412323,26.9,29.573458,29.5,38,40.843559,39.41
,,,,,1832,39.173481,23,34.049999,31.993813,32,35.810001,38.369999,29.690001,36.41272,26.9,29.573458,29.5,38,40.163628,39.41
,,,,,1833,39.30056,22,34.049999,31.99362,32,38.830002,38.369999,29.690001,36.41312,26.9,29.573458,29.5,38,41.349632,39.41
,,,,,1834,39.427639,25.4424,34.049999,31.993427,32,35.009998,38.369999,29.690001,36.413517,26.9,29.573458,29.5,38,40.783878,39.41
,,,,,1835,39.554722,25.4424,34.049999,31.993233,32,39.48,38.369999,29.690001,36.413914,26.9,29.573458,29.5,38,41.104195,39.41
,,,,,1836,39.681801,25.4424,34.049999,31.99304,32,41.950001,38.369999,29.690001,36.41431,26.9,29.573458,29.5,38,41.427021,39.41
,,,,,1837,39.80888,24.299999,34.049999,31.992847,32,39.380001,38.369999,29.690001,36.414707,26.9,29.573458,29.5,38,40.203598,39.41
,,,,,1838,39.935959,23.9,34.049999,31.992653,32,39.330002,38.369999,29.690001,36.415108,26.9,29.573458,29.5,38,40.301132,39.41
,,,,,1839,40.063042,25.4424,34.049999,31.99246,32,40.91,38.369999,29.690001,36.415504,26.9,29.573458,29.5,38,40.879307,39.41
,,,,,1840,40.190121,25.4424,34.049999,31.992268,32,40.369999,38.369999,29.690001,36.415901,26.9,29.573458,29.5,38,39.927151,39.41
,,,,,1841,40.3172,25.4424,34.049999,31.992073,32,40.68,38.369999,29.690001,36.416298,26.9,29.573458,29.5,38,41.700001,39.41
